Time (s),Illuminance (lux),Timestamp,Condition
0.017,5.59,2026-01-12 00:36:09.183,Transition
0.116,5.59,2026-01-12 00:36:09.282,Transition
0.215,5.59,2026-01-12 00:36:09.381,Transition
0.315,5.59,2026-01-12 00:36:09.481,Transition
0.415,5.59,2026-01-12 00:36:09.581,Transition
0.515,5.59,2026-01-12 00:36:09.681,Transition
0.615,5.59,2026-01-12 00:36:09.781,Transition
0.715,5.59,2026-01-12 00:36:09.881,Transition
0.816,5.59,2026-01-12 00:36:09.982,Transition
0.915,5.59,2026-01-12 00:36:10.081,Transition
1.016,5.59,2026-01-12 00:36:10.182,Transition
1.127,5.59,2026-01-12 00:36:10.293,Transition
1.228,5.59,2026-01-12 00:36:10.394,Transition
1.328,5.59,2026-01-12 00:36:10.494,Transition
1.423,5.59,2026-01-12 00:36:10.589,Transition
1.519,5.59,2026-01-12 00:36:10.685,Transition
1.628,5.59,2026-01-12 00:36:10.794,Transition
1.727,5.59,2026-01-12 00:36:10.893,Transition
1.827,5.59,2026-01-12 00:36:10.993,Transition
1.927,5.59,2026-01-12 00:36:11.093,Transition
2.027,5.59,2026-01-12 00:36:11.193,Transition
2.127,5.59,2026-01-12 00:36:11.293,Transition
2.227,5.59,2026-01-12 00:36:11.393,Transition
2.327,5.5,2026-01-12 00:36:11.493,Transition
2.426,5.27,2026-01-12 00:36:11.592,Transition
2.526,5.27,2026-01-12 00:36:11.692,Transition
2.622,5.27,2026-01-12 00:36:11.788,Transition
2.723,5.5,2026-01-12 00:36:11.889,Transition
2.822,5.27,2026-01-12 00:36:11.988,Transition
2.922,5.27,2026-01-12 00:36:12.088,Transition
3.022,5.5,2026-01-12 00:36:12.188,Transition
3.122,5.59,2026-01-12 00:36:12.288,Transition
3.223,5.59,2026-01-12 00:36:12.389,Transition
3.324,5.5,2026-01-12 00:36:12.490,Transition
3.421,5.59,2026-01-12 00:36:12.587,Transition
3.517,5.59,2026-01-12 00:36:12.683,Transition
3.623,5.59,2026-01-12 00:36:12.789,Transition
3.712,5.5,2026-01-12 00:36:12.878,Transition
3.823,5.59,2026-01-12 00:36:12.989,Transition
3.922,5.5,2026-01-12 00:36:13.088,Transition
4.021,5.59,2026-01-12 00:36:13.187,Transition
4.126,5.5,2026-01-12 00:36:13.292,Transition
4.227,5.27,2026-01-12 00:36:13.393,Transition
4.32,5.27,2026-01-12 00:36:13.486,Transition
4.423,5.36,2026-01-12 00:36:13.589,Transition
4.526,5.36,2026-01-12 00:36:13.692,Transition
4.619,5.36,2026-01-12 00:36:13.785,Transition
4.722,5.27,2026-01-12 00:36:13.888,Transition
4.822,4.83,2026-01-12 00:36:13.988,Transition
4.917,5.05,2026-01-12 00:36:14.083,Transition
5.023,4.83,2026-01-12 00:36:14.189,Transition
5.121,4.42,2026-01-12 00:36:14.287,Transition
5.222,4.22,2026-01-12 00:36:14.388,Transition
5.32,4.14,2026-01-12 00:36:14.486,Transition
5.422,4.14,2026-01-12 00:36:14.588,Transition
5.521,4.22,2026-01-12 00:36:14.687,Transition
5.616,3.95,2026-01-12 00:36:14.782,Transition
5.721,4.02,2026-01-12 00:36:14.887,Transition
5.821,4.02,2026-01-12 00:36:14.987,Transition
5.922,4.02,2026-01-12 00:36:15.088,Transition
6.022,3.95,2026-01-12 00:36:15.188,Transition
6.121,4.02,2026-01-12 00:36:15.287,Transition
6.221,4.22,2026-01-12 00:36:15.387,Transition
6.326,5.67,2026-01-12 00:36:15.492,Transition
6.423,7.44,2026-01-12 00:36:15.589,Transition
6.524,8.57,2026-01-12 00:36:15.690,Transition
6.625,14.88,2026-01-12 00:36:15.791,Transition
6.722,21.24,2026-01-12 00:36:15.888,Transition
6.82,19.15,2026-01-12 00:36:15.986,Transition
6.921,19.15,2026-01-12 00:36:16.087,Transition
7.023,17.59,2026-01-12 00:36:16.189,Transition
7.121,17.59,2026-01-12 00:36:16.287,Transition
7.223,17.59,2026-01-12 00:36:16.389,Transition
7.322,50.63,2026-01-12 00:36:16.488,Transition
7.423,36.61,2026-01-12 00:36:16.589,Transition
7.513,17.9,2026-01-12 00:36:16.679,Transition
7.623,21.18,2026-01-12 00:36:16.789,Transition
7.715,20.04,2026-01-12 00:36:16.881,Transition
7.822,16.72,2026-01-12 00:36:16.988,Transition
7.921,17.9,2026-01-12 00:36:17.087,Transition
8.022,16.9,2026-01-12 00:36:17.188,Transition
8.121,16.41,2026-01-12 00:36:17.287,Transition
8.222,16.41,2026-01-12 00:36:17.388,Transition
8.323,15.93,2026-01-12 00:36:17.489,Transition
8.421,15.93,2026-01-12 00:36:17.587,Transition
8.522,16.41,2026-01-12 00:36:17.688,Transition
8.622,17.39,2026-01-12 00:36:17.788,Transition
8.723,17.39,2026-01-12 00:36:17.889,Transition
8.82,17.39,2026-01-12 00:36:17.986,Transition
8.915,17.39,2026-01-12 00:36:18.081,Transition
9.022,17.39,2026-01-12 00:36:18.188,Transition
9.122,17.39,2026-01-12 00:36:18.288,Transition
9.216,17.39,2026-01-12 00:36:18.382,Transition
9.322,17.39,2026-01-12 00:36:18.488,Transition
9.42,17.39,2026-01-12 00:36:18.586,Transition
9.523,17.39,2026-01-12 00:36:18.689,Transition
9.623,17.9,2026-01-12 00:36:18.789,Transition
9.722,17.9,2026-01-12 00:36:18.888,Transition
9.814,17.9,2026-01-12 00:36:18.980,Transition
9.923,17.9,2026-01-12 00:36:19.089,Transition
10.023,17.9,2026-01-12 00:36:19.189,Transition
10.122,17.9,2026-01-12 00:36:19.288,Transition
10.222,18.96,2026-01-12 00:36:19.388,Transition
10.32,15.93,2026-01-12 00:36:19.486,Transition
10.423,15.93,2026-01-12 00:36:19.589,Transition
10.513,15.93,2026-01-12 00:36:19.679,Transition
10.623,15.93,2026-01-12 00:36:19.789,Transition
10.722,16.41,2026-01-12 00:36:19.888,Transition
10.822,28.14,2026-01-12 00:36:19.988,Transition
10.917,55.94,2026-01-12 00:36:20.083,Transition
11.021,44.8,2026-01-12 00:36:20.187,Transition
11.122,51.39,2026-01-12 00:36:20.288,Transition
11.22,48.35,2026-01-12 00:36:20.386,Transition
11.322,44.11,2026-01-12 00:36:20.488,Transition
11.421,53.11,2026-01-12 00:36:20.587,Transition
11.521,59.75,2026-01-12 00:36:20.687,Transition
11.62,58.17,2026-01-12 00:36:20.786,Transition
11.721,55.92,2026-01-12 00:36:20.887,Transition
11.82,90.21,2026-01-12 00:36:20.986,Transition
11.922,107.85,2026-01-12 00:36:21.088,Transition
12.015,109.58,2026-01-12 00:36:21.181,Transition
12.119,97.99,2026-01-12 00:36:21.285,Transition
12.211,114.8,2026-01-12 00:36:21.377,Transition
12.321,107.85,2026-01-12 00:36:21.487,Transition
12.421,157.0,2026-01-12 00:36:21.587,Transition
12.522,188.72,2026-01-12 00:36:21.688,Transition
12.62,195.23,2026-01-12 00:36:21.786,Transition
12.722,188.72,2026-01-12 00:36:21.888,Transition
12.821,171.97,2026-01-12 00:36:21.987,Transition
12.921,187.77,2026-01-12 00:36:22.087,Transition
13.018,185.3,2026-01-12 00:36:22.184,Transition
13.121,215.4,2026-01-12 00:36:22.287,Transition
13.222,197.79,2026-01-12 00:36:22.388,Transition
13.322,219.84,2026-01-12 00:36:22.488,Transition
13.421,215.11,2026-01-12 00:36:22.587,Transition
13.525,185.48,2026-01-12 00:36:22.691,Transition
13.625,179.58,2026-01-12 00:36:22.791,Transition
13.726,233.83,2026-01-12 00:36:22.892,Transition
13.826,207.15,2026-01-12 00:36:22.992,Transition
13.925,201.37,2026-01-12 00:36:23.091,Transition
14.025,258.44,2026-01-12 00:36:23.191,Transition
14.126,260.79,2026-01-12 00:36:23.292,Transition
14.225,229.31,2026-01-12 00:36:23.391,Transition
14.327,270.93,2026-01-12 00:36:23.493,Transition
14.427,295.46,2026-01-12 00:36:23.593,Transition
14.525,228.9,2026-01-12 00:36:23.691,Transition
14.625,246.44,2026-01-12 00:36:23.791,Transition
14.724,256.21,2026-01-12 00:36:23.890,Transition
14.824,282.46,2026-01-12 00:36:23.990,Transition
14.924,268.52,2026-01-12 00:36:24.090,Transition
15.025,283.58,2026-01-12 00:36:24.191,Transition
15.125,247.26,2026-01-12 00:36:24.291,Transition
15.224,242.46,2026-01-12 00:36:24.390,Transition
15.324,224.34,2026-01-12 00:36:24.490,Transition
15.427,245.42,2026-01-12 00:36:24.593,Transition
15.523,217.09,2026-01-12 00:36:24.689,Transition
